Date,Open,High,Low,Close,Adj Close,Volume
2022-08-15,0.270000,0.310000,0.270000,0.300000,0.300000,261300
2022-08-16,0.300000,0.330000,0.290000,0.310000,0.310000,991500
2022-08-17,0.330000,0.330000,0.300000,0.300000,0.300000,139500
2022-08-18,0.320000,0.320000,0.290000,0.290000,0.290000,465500
2022-08-19,0.300000,0.300000,0.280000,0.290000,0.290000,307900
2022-08-22,0.280000,0.290000,0.280000,0.280000,0.280000,80500
2022-08-23,0.290000,0.290000,0.280000,0.290000,0.290000,186700
2022-08-24,0.280000,0.290000,0.280000,0.280000,0.280000,45100
2022-08-25,0.280000,0.290000,0.280000,0.280000,0.280000,155600
2022-08-26,0.280000,0.290000,0.280000,0.280000,0.280000,124700
2022-08-29,0.300000,0.300000,0.280000,0.280000,0.280000,94200
2022-08-30,0.280000,0.280000,0.270000,0.270000,0.270000,92400
2022-08-31,0.280000,0.280000,0.270000,0.280000,0.280000,48400
2022-09-01,0.260000,0.280000,0.260000,0.270000,0.270000,125400
2022-09-02,0.270000,0.280000,0.270000,0.270000,0.270000,51800
2022-09-06,0.270000,0.280000,0.260000,0.270000,0.270000,175200
2022-09-07,0.290000,0.290000,0.260000,0.270000,0.270000,197500
2022-09-08,0.270000,0.300000,0.120000,0.280000,0.280000,11532900
2022-09-09,0.280000,0.350000,0.200000,0.270000,0.270000,2936800
2022-09-12,0.260000,0.290000,0.240000,0.260000,0.260000,421700
2022-09-13,0.200000,0.240000,0.170000,0.190000,0.190000,5070100
2022-09-14,0.210000,0.220000,0.190000,0.200000,0.200000,897300
2022-09-15,0.210000,0.210000,0.190000,0.190000,0.190000,739200
2022-09-16,0.210000,0.210000,0.180000,0.190000,0.190000,56100
2022-09-19,0.190000,0.210000,0.180000,0.190000,0.190000,197800
2022-09-20,0.190000,0.190000,0.150000,0.150000,0.150000,1329800
2022-09-21,0.180000,0.180000,0.160000,0.160000,0.160000,862300
2022-09-22,0.160000,0.170000,0.140000,0.140000,0.140000,818800
2022-09-23,0.150000,0.160000,0.110000,0.130000,0.130000,2952000
2022-09-26,0.130000,0.140000,0.120000,0.130000,0.130000,788200
2022-09-27,0.130000,0.140000,0.100000,0.110000,0.110000,1089900
2022-09-28,0.110000,0.120000,0.110000,0.110000,0.110000,1351100
2022-09-29,0.110000,0.110000,0.090000,0.090000,0.090000,1481200
2022-09-30,0.090000,0.120000,0.090000,0.090000,0.090000,3837400
2022-10-03,0.090000,0.110000,0.080000,0.080000,0.080000,2110800
2022-10-04,0.090000,0.090000,0.090000,0.090000,0.090000,2038600
2022-10-05,0.100000,0.100000,0.090000,0.090000,0.090000,576100
2022-10-06,0.100000,0.100000,0.090000,0.090000,0.090000,198200
2022-10-07,0.090000,0.090000,0.090000,0.090000,0.090000,273300
2022-10-10,0.090000,0.100000,0.090000,0.090000,0.090000,298400
